2022 05 07	11:57:38 	 ff016590-0846-456f-bf2d-315d60bc42aa 	 GET	 undefined 	 /states/ 
2022 05 07	11:57:47 	 f557f44f-834f-4991-b60b-975c9509e0dd 	 GET	 undefined 	 /states/ks 
2022 05 07	11:58:41 	 467afc57-0370-458e-8625-a4c1b0b98e44 	 GET	 undefined 	 /states/ks/funfactt 
2022 05 07	11:58:41 	 3bd3c4e3-6c0c-407f-84dc-0ab3e4a85d8f 	 GET	 undefined 	 /states/ks/css/style.css 
2022 05 07	11:58:47 	 08f9877d-2ec1-42a8-bdf2-9b83031970a5 	 GET	 undefined 	 /states/ks/funfact 
2022 05 07	12:02:51 	 36f0862e-c316-4e54-87f8-032639511f56 	 GET	 undefined 	 /states/ 
2022 05 07	12:03:23 	 dc2ac408-2814-408d-8f79-16c3db9ec2c0 	 GET	 undefined 	 /states/ 
2022 05 07	12:03:48 	 4a30fb94-2322-4e74-aa16-98fb212fe994 	 GET	 undefined 	 /states/?contig=true 
2022 05 07	12:04:33 	 800d8863-1f7e-4662-bfb1-95607a496d7c 	 GET	 undefined 	 /states/?contig=true 
2022 05 07	12:08:31 	 14a7fee5-3c63-446e-b620-743255f2d81a 	 GET	 undefined 	 /states/?contig=true 
2022 05 07	12:09:16 	 a0ce556c-3e46-4d24-8783-47e3623455e5 	 GET	 undefined 	 /states/?contig=true 
2022 05 07	12:10:34 	 a5cc8ea3-64f4-4082-b297-bedec156ead7 	 GET	 undefined 	 /states/?contig=true 
2022 05 07	12:11:19 	 2f2898e3-117a-405b-ad4b-f62a29d8747d 	 GET	 undefined 	 /states/?contig=true 
2022 05 07	12:27:02 	 1434d3df-2c76-4927-97f6-a02f481f75b7 	 GET	 undefined 	 /states/?contig=true 
2022 05 07	12:27:29 	 4b4d182f-50ca-43f3-9e4a-137d8b830da2 	 GET	 undefined 	 /states/?contig=true 
2022 05 07	12:28:18 	 d00aea98-e577-4e9f-8f43-41819ccb20ed 	 GET	 undefined 	 /states/?contig=true 
2022 05 07	12:28:45 	 715a0651-7760-4918-a931-67353e329edd 	 GET	 undefined 	 /states/?contig=true 
2022 05 07	12:29:27 	 1a320849-3cd7-4aeb-8e3d-65e36b7ca758 	 GET	 undefined 	 /states/?contig=true 
2022 05 07	12:30:39 	 2d51edfd-c1ce-4ceb-bd0f-6c3bbafafee1 	 GET	 undefined 	 /states/?contig=true 
2022 05 07	12:31:04 	 ef8e4005-2959-413d-b108-dcc35aa75f05 	 GET	 undefined 	 /states/?contig=true 
2022 05 07	12:31:20 	 4dee4337-7659-4c78-ac8f-4ff3ccaf2cb8 	 GET	 undefined 	 /states/?contig=true 
2022 05 07	12:31:30 	 5d15e339-5d5b-4864-a00f-5696aef82453 	 GET	 undefined 	 /states/?contig=true 
2022 05 07	13:11:44 	 a719ab08-9303-4015-bba9-5bf779984efe 	 GET	 undefined 	 / 
2022 05 07	13:11:44 	 2232fc05-2b8e-4304-b82b-c8ebd91e74cc 	 GET	 undefined 	 /css/style.css 
